TOPICO,PRIORIDADE,STATUS,DATA_INICIO,DATA_CONCLUSAO,REV_1,REV_2,REV_3,REV_4,REV_5,FLASHCARDS,QUESTOES_FEITAS,TAXA_ACERTO,PROXIMA_REVISAO,OBSERVACOES
"1. Linguagens - Java",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Jakarta EE, Spring Boot, Hibernate, JPA"
"2. Linguagens - Python",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Python 3.x para web e scripts"
"3. Linguagens - C#",MAXIMA,Não iniciado,,,,,,,,,0,0%,,".NET para aplicações corporativas"
"4. Linguagens - JavaScript/TypeScript",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Front-end e back-end"
"5. Banco de Dados - SQL",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"ANSI SQL, PL/SQL, T-SQL, PL/pgSQL"
"6. Banco de Dados - Modelagem",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Conceitual, lógica, física, normalização"
"7. Banco de Dados - Tuning",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Otimização de consultas e índices"
"8. Engenharia de Software - Ciclo de Vida",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Concepção até evolução"
"9. Engenharia de Software - Requisitos",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Funcionais e não funcionais"
"10. Engenharia de Software - UML 2.5",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Diagramas estruturais e comportamentais"
"11. Engenharia de Software - BPMN",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Modelagem de processos de negócio"
"12. Metodologias Ágeis - Scrum",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Framework ágil completo"
"13. Metodologias Ágeis - Kanban",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Fluxo contínuo"
"14. Metodologias Ágeis - XP",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Extreme Programming"
"15. PMBOK 7ª edição",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Gestão de projetos"
"16. APF - Análise de Pontos de Função",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Métricas de estimativa"
"17. Segurança - OWASP Top 10:2021",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"10 principais vulnerabilidades"
"18. Segurança - OWASP API Security Top 10:2023",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Segurança em APIs"
"19. Segurança - OWASP ASVS 5.0",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Application Security Verification Standard"
"20. Segurança - DevSecOps",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"SAST/DAST/SCA"
"21. Segurança - OAuth 2.0/OIDC",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Autenticação e autorização"
"22. Segurança - CIS Controls v8.1",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Controles de segurança"
"23. Legislação - LGPD (Lei 13.709/2018)",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"CRÍTICO - PODE SER ELIMINATÓRIA"
"24. Legislação - Lei 14.133/2021",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Nova Lei de Licitações"
"25. Legislação - Lei de Inovação (10.973/2004)",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Inovação tecnológica"
"26. Legislação - SEIG (12.985/2006)",MAXIMA,Não iniciado,,,,,,,,,0,0%,,"Sistema Eletrônico de Informações"
"27. Arquitetura - Multicamadas",ALTA,Não iniciado,,,,,,,,,0,0%,,"Arquitetura cliente-servidor"
"28. Arquitetura - SOA",ALTA,Não iniciado,,,,,,,,,0,0%,,"Service-Oriented Architecture"
"29. Arquitetura - Microsserviços",ALTA,Não iniciado,,,,,,,,,0,0%,,"Arquitetura de microsserviços"
"30. Arquitetura - APIs RESTful",ALTA,Não iniciado,,,,,,,,,0,0%,,"OpenAPI/Swagger"
"31. Arquitetura - Event-Driven",ALTA,Não iniciado,,,,,,,,,0,0%,,"Arquitetura orientada a eventos"
"32. Arquitetura - Cache e Mensageria",ALTA,Não iniciado,,,,,,,,,0,0%,,"Redis e sistemas de mensageria"
"33. Design Patterns - SOLID",ALTA,Não iniciado,,,,,,,,,0,0%,,"5 princípios de design"
"34. Design Patterns - DRY e KISS",ALTA,Não iniciado,,,,,,,,,0,0%,,"Don't Repeat Yourself e Keep It Simple"
"35. Design Patterns - GoF",ALTA,Não iniciado,,,,,,,,,0,0%,,"Criacionais, estruturais e comportamentais"
"36. DevOps - CI/CD",ALTA,Não iniciado,,,,,,,,,0,0%,,"Integração e entrega contínua"
"37. DevOps - GitLab CI/CD",ALTA,Não iniciado,,,,,,,,,0,0%,,"Pipeline GitLab"
"38. DevOps - Jenkins",ALTA,Não iniciado,,,,,,,,,0,0%,,"Automação Jenkins"
"39. DevOps - GitHub Actions",ALTA,Não iniciado,,,,,,,,,0,0%,,"Workflows GitHub"
"40. DevOps - Git e GitFlow",ALTA,Não iniciado,,,,,,,,,0,0%,,"Versionamento de código"
"41. DevOps - Docker",ALTA,Não iniciado,,,,,,,,,0,0%,,"Containers"
"42. DevOps - Kubernetes",ALTA,Não iniciado,,,,,,,,,0,0%,,"Orquestração de containers"
"43. DevOps - Observabilidade",ALTA,Não iniciado,,,,,,,,,0,0%,,"Prometheus/Grafana/ELK"
"44. Desenvolvimento Web - HTML5",ALTA,Não iniciado,,,,,,,,,0,0%,,"Estrutura web moderna"
